Trial,S1_val,S1_std,S2_val,S2_std
1,-10.00,0.00,-10.00,0.00
2,-10.00,0.00,-10.00,0.00
3,-10.00,0.00,-10.00,0.00
4,-10.00,0.00,-10.00,0.00
5,-10.00,0.00,-10.00,0.00
6,-10.00,0.00,-10.00,0.00
7,-10.00,0.00,-10.00,0.00
8,-10.00,0.00,-10.00,0.00
9,-10.00,0.00,-10.00,0.00
10,-10.00,0.00,-10.00,0.00
11,-10.00,0.00,-10.00,0.00
12,-10.00,0.00,-10.00,0.00
13,-10.00,0.00,-10.00,0.00
14,-10.00,0.00,-10.00,0.00
15,-10.00,0.00,-10.00,0.00
16,-10.00,0.00,-10.00,0.00
17,-10.00,0.00,-10.00,0.00
18,-10.00,0.00,-10.00,0.00
19,-10.00,0.00,-10.00,0.00
20,-10.00,0.00,-10.00,0.00
21,-10.00,0.00,-10.00,0.00
22,-10.00,0.00,-10.00,0.00
23,-10.00,0.00,-10.00,0.00
24,-10.00,0.00,-10.00,0.00
25,-10.00,0.00,-10.00,0.00
26,-10.00,0.00,-10.00,0.00
27,-10.00,0.00,-10.00,0.00
28,-10.00,0.00,-10.00,0.00
29,-10.00,0.00,-10.00,0.00
30,-10.00,0.00,-10.00,0.00
31,-10.00,0.00,-10.00,0.00
32,-10.00,0.00,-10.00,0.00
33,-10.00,0.00,-10.00,0.00
34,-10.00,0.00,-10.00,0.00
35,-10.00,0.00,-10.00,0.00
36,-10.00,0.00,-10.00,0.00
37,-10.00,0.00,-10.00,0.00
38,-10.00,0.00,-10.00,0.00
39,-10.00,0.00,-10.00,0.00
40,-10.00,0.00,-10.00,0.00
41,-10.00,0.00,-10.00,0.00
42,-10.00,0.00,-10.00,0.00
43,-10.00,0.00,-10.00,0.00
44,-10.00,0.00,-10.00,0.00
45,-10.00,0.00,-10.00,0.00
46,-10.00,0.00,-10.00,0.00
47,-10.00,0.00,-10.00,0.00
48,-10.00,0.00,-10.00,0.00
49,-10.00,0.00,-10.00,0.00
50,-10.00,0.00,-10.00,0.00
51,-10.00,0.00,-10.00,1.00
52,-10.00,0.00,-10.00,1.00
53,-10.00,0.00,-10.00,1.00
54,-10.00,0.00,-10.00,1.00
55,-10.00,0.00,-10.00,1.00
56,-10.00,0.00,-10.00,1.00
57,-10.00,0.00,-10.00,1.00
58,-10.00,0.00,-10.00,1.00
59,-10.00,0.00,-10.00,1.00
60,-10.00,0.00,-10.00,1.00
61,-10.00,0.00,-10.00,1.00
62,-10.00,0.00,-10.00,1.00
