Trial,S1_A_val,S1_A_std,S1_B_val,S2_A_val,S2_A_std,S2_B_val,Decision (S1>S2)
1,-10,0.18,10,-5,0,-5,1
2,-10,0.18,10,-5,0,-5,1
3,-10,0.18,10,-5,0,-5,1
4,-10,0.18,10,-5,0,-5,1
5,-10,0.18,10,-5,0,-5,1
6,-10,0.18,10,-5,0,-5,1
7,-10,0.18,10,-5,0,-5,1
8,-10,0.18,10,-5,0,-5,1
9,-10,0.18,10,-5,0,-5,1
10,-10,0.18,10,-5,0,-5,1
11,-10,0.18,10,-5,0,-5,1
12,-10,0.18,10,-5,0,-5,1
13,-10,0.18,10,-5,0,-5,1
14,-10,0.18,10,-5,0,-5,1
15,-10,0.18,10,-5,0,-5,1
16,-10,0.18,10,-5,0,-5,1
17,-10,0.18,10,-5,0,-5,1
18,-10,0.18,10,-5,0,-5,1
19,-10,0.18,10,-5,0,-5,1
20,-10,0.18,10,-5,0,-5,1
21,-10,0.18,10,-5,0,-5,1
22,-10,0.18,10,-5,0,-5,1
23,-10,0.18,10,-5,0,-5,1
24,-10,0.18,10,-5,0,-5,1
25,-10,0.18,10,-5,0,-5,1
26,-10,0.18,10,-5,0,-5,1
27,-10,0.18,10,-5,0,-5,1
28,-10,0.18,10,-5,0,-5,1
29,-10,0.18,10,-5,0,-5,1
30,-10,0.18,10,-5,0,-5,1
31,-10,0.18,10,-5,0,-5,1
32,-10,0.18,10,-5,0,-5,1
33,-10,0.18,10,-5,0,-5,1
34,-10,0.18,10,-5,0,-5,1
35,-10,0.18,10,-5,0,-5,1
36,-10,0.18,10,-5,0,-5,1
37,-10,0.18,10,-5,0,-5,1
38,-10,0.18,10,-5,0,-5,1
39,-10,0.18,10,-5,0,-5,1
40,-10,0.18,10,-5,0,-5,1
41,-10,0.18,10,-5,0,-5,1
42,-10,0.18,10,-5,0,-5,1
43,-10,0.18,10,-5,0,-5,1
44,-10,0.18,10,-5,0,-5,1
45,-10,0.18,10,-5,0,-5,1
46,-10,0.18,10,-5,0,-5,1
47,-10,0.18,10,-5,0,-5,1
48,-10,0.18,10,-5,0,-5,1
49,-10,0.18,10,-5,0,-5,1
50,-10,0.18,10,-5,0,-5,1
51,-10,0.18,10,-5,0,-5,1
52,-10,0.18,10,-5,0,-5,1
53,-10,0.18,10,-5,0,-5,1
54,-10,0.18,10,-5,0,-5,1
55,-10,0.18,10,-5,0,-5,1
56,-10,0.18,10,-5,0,-5,1
57,-10,0.18,10,-5,0,-5,1
58,-10,0.18,10,-5,0,-5,1
59,-10,0.18,10,-5,0,-5,1
60,-10,0.18,10,-5,0,-5,1
61,-10,0.18,10,-5,0,-5,1
62,-10,0.18,10,-5,0,-5,1
63,-10,0.18,10,-5,0,-5,1
64,-10,0.18,10,-5,0,-5,1
65,-10,0.18,10,-5,0,-5,1
66,-10,0.18,10,-5,0,-5,1
67,-10,0.18,10,-5,0,-5,1
68,-10,0.18,10,-5,0,-5,1
69,-10,0.18,10,-5,0,-5,1
70,-10,0.18,10,-5,0,-5,1
71,-10,0.18,10,-5,0,-5,1
72,-10,0.18,10,-5,0,-5,1
73,-10,0.18,10,-5,0,-5,1
74,-10,0.18,10,-5,0,-5,1
75,-10,0.18,10,-5,0,-5,1
76,-10,0.18,10,-5,0,-5,1
77,-10,0.18,10,-5,0,-5,1
78,-10,0.18,10,-5,0,-5,1
79,-10,0.18,10,-5,0,-5,1
80,-10,0.18,10,-5,0,-5,1
81,-10,0.18,10,-5,0,-5,1
82,-10,0.18,10,-5,0,-5,1
83,-10,0.18,10,-5,0,-5,1
84,-10,0.18,10,-5,0,-5,1
85,-10,0.18,10,-5,0,-5,1
86,-10,0.18,10,-5,0,-5,1
87,-10,0.18,10,-5,0,-5,1
88,-10,0.18,10,-5,0,-5,1
89,-10,0.18,10,-5,0,-5,1
90,-10,0.18,10,-5,0,-5,1
91,-10,0.18,10,-5,0,-5,1
92,-10,0.18,10,-5,0,-5,1
93,-10,0.18,10,-5,0,-5,1
94,-10,0.18,10,-5,0,-5,1
95,-10,0.18,10,-5,0,-5,1
96,-10,0.18,10,-5,0,-5,1
97,-10,0.18,10,-5,0,-5,1
98,-10,0.18,10,-5,0,-5,1
99,-10,0.18,10,-5,0,-5,1
100,-10,0.18,10,-5,0,-5,1
101,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
102,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
103,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
104,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
105,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
106,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
107,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
108,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
109,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
110,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
111,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
112,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
113,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
114,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
115,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
116,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
117,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
118,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
119,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
120,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
121,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
122,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
123,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
124,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
125,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
126,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
127,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
128,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
129,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
130,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
131,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
132,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
133,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
134,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
135,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
136,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
137,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
138,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
139,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
140,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
141,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
142,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
143,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
144,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
145,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
146,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
147,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
148,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
149,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
150,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
151,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
152,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
153,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
154,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
155,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
156,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
157,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
158,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
159,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
160,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
161,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
