Trial,S1_A_val,S1_A_std,S1_B_val,S2_A_val,S2_A_std,S2_B_val
1,-5.0,0,-5.0,-10,0.25,10
2,-5.0,0,-5.0,-10,0.25,10
3,-5.0,0,-5.0,-10,0.25,10
4,-5.0,0,-5.0,-10,0.25,10
5,-5.0,0,-5.0,-10,0.25,10
6,-5.0,0,-5.0,-10,0.25,10
7,-5.0,0,-5.0,-10,0.25,10
8,-5.0,0,-5.0,-10,0.25,10
9,-5.0,0,-5.0,-10,0.25,10
10,-5.0,0,-5.0,-10,0.25,10
11,-5.0,0,-5.0,-10,0.25,10
12,-5.0,0,-5.0,-10,0.25,10
13,-5.0,0,-5.0,-10,0.25,10
14,-5.0,0,-5.0,-10,0.25,10
15,-5.0,0,-5.0,-10,0.25,10
16,-5.0,0,-5.0,-10,0.25,10
17,-5.0,0,-5.0,-10,0.25,10
18,-5.0,0,-5.0,-10,0.25,10
19,-5.0,0,-5.0,-10,0.25,10
20,-5.0,0,-5.0,-10,0.25,10
21,-5.0,0,-5.0,-10,0.25,10
22,-5.0,0,-5.0,-10,0.25,10
23,-5.0,0,-5.0,-10,0.25,10
24,-5.0,0,-5.0,-10,0.25,10
25,-5.0,0,-5.0,-10,0.25,10
26,-5.0,0,-5.0,-10,0.25,10
27,-5.0,0,-5.0,-10,0.25,10
28,-5.0,0,-5.0,-10,0.25,10
29,-5.0,0,-5.0,-10,0.25,10
30,-5.0,0,-5.0,-10,0.25,10
31,-5.0,0,-5.0,-10,0.25,10
32,-5.0,0,-5.0,-10,0.25,10
33,-5.0,0,-5.0,-10,0.25,10
34,-5.0,0,-5.0,-10,0.25,10
35,-5.0,0,-5.0,-10,0.25,10
36,-5.0,0,-5.0,-10,0.25,10
37,-5.0,0,-5.0,-10,0.25,10
38,-5.0,0,-5.0,-10,0.25,10
39,-5.0,0,-5.0,-10,0.25,10
40,-5.0,0,-5.0,-10,0.25,10
41,-5.0,0,-5.0,-10,0.25,10
42,-5.0,0,-5.0,-10,0.25,10
43,-5.0,0,-5.0,-10,0.25,10
44,-5.0,0,-5.0,-10,0.25,10
45,-5.0,0,-5.0,-10,0.25,10
46,-5.0,0,-5.0,-10,0.25,10
47,-5.0,0,-5.0,-10,0.25,10
48,-5.0,0,-5.0,-10,0.25,10
49,-5.0,0,-5.0,-10,0.25,10
50,-5.0,0,-5.0,-10,0.25,10
51,-5.0,0,-5.0,-10,0.25,10
52,-5.0,0,-5.0,-10,0.25,10
53,-5.0,0,-5.0,-10,0.25,10
54,-5.0,0,-5.0,-10,0.25,10
55,-5.0,0,-5.0,-10,0.25,10
56,-5.0,0,-5.0,-10,0.25,10
57,-5.0,0,-5.0,-10,0.25,10
58,-5.0,0,-5.0,-10,0.25,10
59,-5.0,0,-5.0,-10,0.25,10
60,-5.0,0,-5.0,-10,0.25,10
61,-5.0,0,-5.0,-10,0.25,10
62,-5.0,0,-5.0,-10,0.25,10
63,-5.0,0,-5.0,-10,0.25,10
64,-5.0,0,-5.0,-10,0.25,10
65,-5.0,0,-5.0,-10,0.25,10
66,-5.0,0,-5.0,-10,0.25,10
67,-5.0,0,-5.0,-10,0.25,10
68,-5.0,0,-5.0,-10,0.25,10
69,-5.0,0,-5.0,-10,0.25,10
70,-5.0,0,-5.0,-10,0.25,10
71,-5.0,0,-5.0,-10,0.25,10
72,-5.0,0,-5.0,-10,0.25,10
73,-5.0,0,-5.0,-10,0.25,10
74,-5.0,0,-5.0,-10,0.25,10
75,-5.0,0,-5.0,-10,0.25,10
76,-5.0,0,-5.0,-10,0.25,10
77,-5.0,0,-5.0,-10,0.25,10
78,-5.0,0,-5.0,-10,0.25,10
79,-5.0,0,-5.0,-10,0.25,10
80,-5.0,0,-5.0,-10,0.25,10
81,-5.0,0,-5.0,-10,0.25,10
82,-5.0,0,-5.0,-10,0.25,10
83,-5.0,0,-5.0,-10,0.25,10
84,-5.0,0,-5.0,-10,0.25,10
