Trial,S1_A_val,S1_A_std,S1_B_val,S2_A_val,S2_A_std,S2_B_val
1,-10.0,0,-10.0,-10.0,8,-10.0
2,-10.0,0,-10.0,-10.0,8,-10.0
3,-10.0,0,-10.0,-10.0,8,-10.0
4,-10.0,0,-10.0,-10.0,8,-10.0
5,-10.0,0,-10.0,-10.0,8,-10.0
6,-10.0,0,-10.0,-10.0,8,-10.0
7,-10.0,0,-10.0,-10.0,8,-10.0
8,-10.0,0,-10.0,-10.0,8,-10.0
9,-10.0,0,-10.0,-10.0,8,-10.0
10,-10.0,0,-10.0,-10.0,8,-10.0
11,-10.0,0,-10.0,-10.0,8,-10.0
12,-10.0,0,-10.0,-10.0,8,-10.0
13,-10.0,0,-10.0,-10.0,8,-10.0
14,-10.0,0,-10.0,-10.0,8,-10.0
15,-10.0,0,-10.0,-10.0,8,-10.0
16,-10.0,0,-10.0,-10.0,8,-10.0
17,-10.0,0,-10.0,-10.0,8,-10.0
18,-10.0,0,-10.0,-10.0,8,-10.0
19,-10.0,0,-10.0,-10.0,8,-10.0
20,-10.0,0,-10.0,-10.0,8,-10.0
21,-10.0,0,-10.0,-10.0,8,-10.0
22,-10.0,0,-10.0,-10.0,8,-10.0
23,-10.0,0,-10.0,-10.0,8,-10.0
24,-10.0,0,-10.0,-10.0,8,-10.0
25,-10.0,0,-10.0,-10.0,8,-10.0
26,-10.0,0,-10.0,-10.0,8,-10.0
27,-10.0,0,-10.0,-10.0,8,-10.0
28,-10.0,0,-10.0,-10.0,8,-10.0
29,-10.0,0,-10.0,-10.0,8,-10.0
30,-10.0,0,-10.0,-10.0,8,-10.0
31,-10.0,0,-10.0,-10.0,8,-10.0
32,-10.0,0,-10.0,-10.0,8,-10.0
33,-10.0,0,-10.0,-10.0,8,-10.0
34,-10.0,0,-10.0,-10.0,8,-10.0
35,-10.0,0,-10.0,-10.0,8,-10.0
36,-10.0,0,-10.0,-10.0,8,-10.0
37,-10.0,0,-10.0,-10.0,8,-10.0
38,-10.0,0,-10.0,-10.0,8,-10.0
39,-10.0,0,-10.0,-10.0,8,-10.0
40,-10.0,0,-10.0,-10.0,8,-10.0
41,-10.0,0,-10.0,-10.0,8,-10.0
42,-10.0,0,-10.0,-10.0,8,-10.0
43,-10.0,0,-10.0,-10.0,8,-10.0
44,-10.0,0,-10.0,-10.0,8,-10.0
45,-10.0,0,-10.0,-10.0,8,-10.0
46,-10.0,0,-10.0,-10.0,8,-10.0
47,-10.0,0,-10.0,-10.0,8,-10.0
48,-10.0,0,-10.0,-10.0,8,-10.0
49,-10.0,0,-10.0,-10.0,8,-10.0
50,-10.0,0,-10.0,-10.0,8,-10.0
51,-10.0,0,-10.0,-10.0,8,-10.0
52,-10.0,0,-10.0,-10.0,8,-10.0
53,-10.0,0,-10.0,-10.0,8,-10.0
54,-10.0,0,-10.0,-10.0,8,-10.0
55,-10.0,0,-10.0,-10.0,8,-10.0
56,-10.0,0,-10.0,-10.0,8,-10.0
57,-10.0,0,-10.0,-10.0,8,-10.0
58,-10.0,0,-10.0,-10.0,8,-10.0
59,-10.0,0,-10.0,-10.0,8,-10.0
60,-10.0,0,-10.0,-10.0,8,-10.0
61,-10.0,0,-10.0,-10.0,8,-10.0
62,-10.0,0,-10.0,-10.0,8,-10.0
63,-10.0,0,-10.0,-10.0,8,-10.0
64,-10.0,0,-10.0,-10.0,8,-10.0
65,-10.0,0,-10.0,-10.0,8,-10.0
66,-10.0,0,-10.0,-10.0,8,-10.0
67,-10.0,0,-10.0,-10.0,8,-10.0
68,-10.0,0,-10.0,-10.0,8,-10.0
69,-10.0,0,-10.0,-10.0,8,-10.0
70,-10.0,0,-10.0,-10.0,8,-10.0
71,-10.0,0,-10.0,-10.0,8,-10.0
72,-10.0,0,-10.0,-10.0,8,-10.0
73,-10.0,0,-10.0,-10.0,8,-10.0
74,-10.0,0,-10.0,-10.0,8,-10.0
75,-10.0,0,-10.0,-10.0,8,-10.0
76,-10.0,0,-10.0,-10.0,8,-10.0
77,-10.0,0,-10.0,-10.0,8,-10.0
78,-10.0,0,-10.0,-10.0,8,-10.0
79,-10.0,0,-10.0,-10.0,8,-10.0
80,-10.0,0,-10.0,-10.0,8,-10.0
81,-10.0,0,-10.0,-10.0,8,-10.0
82,-10.0,0,-10.0,-10.0,8,-10.0
83,-10.0,0,-10.0,-10.0,8,-10.0
84,-10.0,0,-10.0,-10.0,8,-10.0
85,-10.0,0,-10.0,-10.0,8,-10.0
86,-10.0,0,-10.0,-10.0,8,-10.0
87,-10.0,0,-10.0,-10.0,8,-10.0
88,-10.0,0,-10.0,-10.0,8,-10.0
89,-10.0,0,-10.0,-10.0,8,-10.0
90,-10.0,0,-10.0,-10.0,8,-10.0
91,-10.0,0,-10.0,-10.0,8,-10.0
92,-10.0,0,-10.0,-10.0,8,-10.0
93,-10.0,0,-10.0,-10.0,8,-10.0
94,-10.0,0,-10.0,-10.0,8,-10.0
95,-10.0,0,-10.0,-10.0,8,-10.0
96,-10.0,0,-10.0,-10.0,8,-10.0
97,-10.0,0,-10.0,-10.0,8,-10.0
98,-10.0,0,-10.0,-10.0,8,-10.0
99,-10.0,0,-10.0,-10.0,8,-10.0
100,-10.0,0,-10.0,-10.0,8,-10.0
101,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
102,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
103,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
104,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
105,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
106,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
107,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
108,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
109,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
110,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
111,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
112,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
113,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
114,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
115,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
116,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
117,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
118,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
119,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
120,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
121,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
122,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
123,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
124,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
125,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
126,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
127,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
128,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
129,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
130,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
131,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
132,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
133,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
134,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
135,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
136,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
137,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
138,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
139,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
140,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
141,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
142,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
143,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
144,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
145,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
146,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
147,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
148,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
149,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
150,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
151,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
152,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
153,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
154,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
155,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
156,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
157,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
158,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
159,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
160,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
161,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
162,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
163,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
164,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
165,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
166,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
167,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
168,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
169,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
170,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
171,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
172,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
173,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
174,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
175,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
176,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
177,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
178,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
179,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
180,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
181,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
182,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
183,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
184,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
185,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
186,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
187,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
188,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
189,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
190,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
191,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
192,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
193,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
194,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
195,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
196,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
197,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
198,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
199,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
200,-9.949874686716791,0,-9.949874686716791,-9.949874686716791,8,-9.949874686716791
201,-9.899749373433584,0,-9.899749373433584,-9.899749373433584,8,-9.899749373433584
202,-9.899749373433584,0,-9.899749373433584,-9.899749373433584,8,-9.899749373433584
203,-9.899749373433584,0,-9.899749373433584,-9.899749373433584,8,-9.899749373433584
204,-9.899749373433584,0,-9.899749373433584,-9.899749373433584,8,-9.899749373433584
205,-9.899749373433584,0,-9.899749373433584,-9.899749373433584,8,-9.899749373433584
206,-9.899749373433584,0,-9.899749373433584,-9.899749373433584,8,-9.899749373433584
207,-9.899749373433584,0,-9.899749373433584,-9.899749373433584,8,-9.899749373433584
208,-9.899749373433584,0,-9.899749373433584,-9.899749373433584,8,-9.899749373433584
209,-9.899749373433584,0,-9.899749373433584,-9.899749373433584,8,-9.899749373433584
210,-9.899749373433584,0,-9.899749373433584,-9.899749373433584,8,-9.899749373433584
211,-9.899749373433584,0,-9.899749373433584,-9.899749373433584,8,-9.899749373433584
212,-9.899749373433584,0,-9.899749373433584,-9.899749373433584,8,-9.899749373433584
213,-9.899749373433584,0,-9.899749373433584,-9.899749373433584,8,-9.899749373433584
214,-9.899749373433584,0,-9.899749373433584,-9.899749373433584,8,-9.899749373433584
215,-9.899749373433584,0,-9.899749373433584,-9.899749373433584,8,-9.899749373433584
216,-9.899749373433584,0,-9.899749373433584,-9.899749373433584,8,-9.899749373433584
217,-9.899749373433584,0,-9.899749373433584,-9.899749373433584,8,-9.899749373433584
218,-9.899749373433584,0,-9.899749373433584,-9.899749373433584,8,-9.899749373433584
219,-9.899749373433584,0,-9.899749373433584,-9.899749373433584,8,-9.899749373433584
220,-9.899749373433584,0,-9.899749373433584,-9.899749373433584,8,-9.899749373433584
221,-9.899749373433584,0,-9.899749373433584,-9.899749373433584,8,-9.899749373433584
222,-9.899749373433584,0,-9.899749373433584,-9.899749373433584,8,-9.899749373433584
223,-9.899749373433584,0,-9.899749373433584,-9.899749373433584,8,-9.899749373433584
224,-9.899749373433584,0,-9.899749373433584,-9.899749373433584,8,-9.899749373433584
225,-9.899749373433584,0,-9.899749373433584,-9.899749373433584,8,-9.899749373433584
226,-9.899749373433584,0,-9.899749373433584,-9.899749373433584,8,-9.899749373433584
