Trial,S1_A_val,S1_A_std,S1_B_val,S2_A_val,S2_A_std,S2_B_val
1,-5.0,8,-5.0,0,0.18,0
2,-5.0,8,-5.0,0,0.18,0
3,-5.0,8,-5.0,0,0.18,0
4,-5.0,8,-5.0,0,0.18,0
5,-5.0,8,-5.0,0,0.18,0
6,-5.0,8,-5.0,0,0.18,0
7,-5.0,8,-5.0,0,0.18,0
8,-5.0,8,-5.0,0,0.18,0
9,-5.0,8,-5.0,0,0.18,0
10,-5.0,8,-5.0,0,0.18,0
11,-5.0,8,-5.0,0,0.18,0
12,-5.0,8,-5.0,0,0.18,0
13,-5.0,8,-5.0,0,0.18,0
14,-5.0,8,-5.0,0,0.18,0
15,-5.0,8,-5.0,0,0.18,0
16,-5.0,8,-5.0,0,0.18,0
17,-5.0,8,-5.0,0,0.18,0
18,-5.0,8,-5.0,0,0.18,0
19,-5.0,8,-5.0,0,0.18,0
20,-5.0,8,-5.0,0,0.18,0
21,-5.0,8,-5.0,0,0.18,0
22,-5.0,8,-5.0,0,0.18,0
23,-5.0,8,-5.0,0,0.18,0
24,-5.0,8,-5.0,0,0.18,0
25,-5.0,8,-5.0,0,0.18,0
26,-5.0,8,-5.0,0,0.18,0
27,-5.0,8,-5.0,0,0.18,0
28,-5.0,8,-5.0,0,0.18,0
29,-5.0,8,-5.0,0,0.18,0
30,-5.0,8,-5.0,0,0.18,0
31,-5.0,8,-5.0,0,0.18,0
32,-5.0,8,-5.0,0,0.18,0
33,-5.0,8,-5.0,0,0.18,0
34,-5.0,8,-5.0,0,0.18,0
35,-5.0,8,-5.0,0,0.18,0
36,-5.0,8,-5.0,0,0.18,0
37,-5.0,8,-5.0,0,0.18,0
38,-5.0,8,-5.0,0,0.18,0
39,-5.0,8,-5.0,0,0.18,0
40,-5.0,8,-5.0,0,0.18,0
41,-5.0,8,-5.0,0,0.18,0
42,-5.0,8,-5.0,0,0.18,0
43,-5.0,8,-5.0,0,0.18,0
44,-5.0,8,-5.0,0,0.18,0
