Trial,S1_A_val,S1_A_std,S1_B_val,S2_A_val,S2_A_std,S2_B_val,Decision (S1>S2)
1,-10,0,-10,-10,8,-10,1
2,-10,0,-10,-10,8,-10,0
3,-10,0,-10,-10,8,-10,0
4,-10,0,-10,-10,8,-10,0
5,-10,0,-10,-10,8,-10,1
6,-10,0,-10,-10,8,-10,0
7,-10,0,-10,-10,8,-10,0
8,-10,0,-10,-10,8,-10,1
9,-10,0,-10,-10,8,-10,1
10,-10,0,-10,-10,8,-10,0
11,-10,0,-10,-10,8,-10,0
12,-10,0,-10,-10,8,-10,0
13,-10,0,-10,-10,8,-10,0
14,-10,0,-10,-10,8,-10,0
15,-10,0,-10,-10,8,-10,0
16,-10,0,-10,-10,8,-10,0
17,-10,0,-10,-10,8,-10,0
18,-10,0,-10,-10,8,-10,0
19,-10,0,-10,-10,8,-10,0
20,-10,0,-10,-10,8,-10,1
21,-10,0,-10,-10,8,-10,1
22,-10,0,-10,-10,8,-10,0
23,-10,0,-10,-10,8,-10,1
24,-10,0,-10,-10,8,-10,0
25,-10,0,-10,-10,8,-10,0
26,-10,0,-10,-10,8,-10,0
27,-10,0,-10,-10,8,-10,0
28,-10,0,-10,-10,8,-10,0
29,-10,0,-10,-10,8,-10,0
30,-10,0,-10,-10,8,-10,0
31,-10,0,-10,-10,8,-10,0
32,-10,0,-10,-10,8,-10,0
33,-10,0,-10,-10,8,-10,0
34,-10,0,-10,-10,8,-10,0
35,-10,0,-10,-10,8,-10,0
36,-10,0,-10,-10,8,-10,1
37,-10,0,-10,-10,8,-10,0
38,-10,0,-10,-10,8,-10,0
39,-10,0,-10,-10,8,-10,0
40,-10,0,-10,-10,8,-10,0
41,-10,0,-10,-10,8,-10,0
42,-10,0,-10,-10,8,-10,0
43,-10,0,-10,-10,8,-10,0
44,-10,0,-10,-10,8,-10,0
45,-10,0,-10,-10,8,-10,1
46,-10,0,-10,-10,8,-10,0
47,-10,0,-10,-10,8,-10,1
48,-10,0,-10,-10,8,-10,1
49,-10,0,-10,-10,8,-10,0
50,-10,0,-10,-10,8,-10,1
51,-10,0,-10,-10,8,-10,1
52,-10,0,-10,-10,8,-10,0
53,-10,0,-10,-10,8,-10,0
54,-10,0,-10,-10,8,-10,1
55,-10,0,-10,-10,8,-10,1
56,-10,0,-10,-10,8,-10,0
57,-10,0,-10,-10,8,-10,0
58,-10,0,-10,-10,8,-10,1
59,-10,0,-10,-10,8,-10,0
60,-10,0,-10,-10,8,-10,1
61,-10,0,-10,-10,8,-10,0
62,-10,0,-10,-10,8,-10,0
63,-10,0,-10,-10,8,-10,0
64,-10,0,-10,-10,8,-10,1
65,-10,0,-10,-10,8,-10,0
66,-10,0,-10,-10,8,-10,1
67,-10,0,-10,-10,8,-10,1
68,-10,0,-10,-10,8,-10,1
69,-10,0,-10,-10,8,-10,0
70,-10,0,-10,-10,8,-10,0
71,-10,0,-10,-10,8,-10,0
72,-10,0,-10,-10,8,-10,0
73,-10,0,-10,-10,8,-10,0
74,-10,0,-10,-10,8,-10,0
75,-10,0,-10,-10,8,-10,0
76,-10,0,-10,-10,8,-10,0
77,-10,0,-10,-10,8,-10,1
78,-10,0,-10,-10,8,-10,0
79,-10,0,-10,-10,8,-10,0
80,-10,0,-10,-10,8,-10,0
81,-10,0,-10,-10,8,-10,0
82,-10,0,-10,-10,8,-10,0
83,-10,0,-10,-10,8,-10,0
84,-10,0,-10,-10,8,-10,0
85,-10,0,-10,-10,8,-10,1
86,-10,0,-10,-10,8,-10,1
87,-10,0,-10,-10,8,-10,0
88,-10,0,-10,-10,8,-10,0
89,-10,0,-10,-10,8,-10,0
90,-10,0,-10,-10,8,-10,0
91,-10,0,-10,-10,8,-10,0
92,-10,0,-10,-10,8,-10,0
93,-10,0,-10,-10,8,-10,1
94,-10,0,-10,-10,8,-10,0
95,-10,0,-10,-10,8,-10,1
96,-10,0,-10,-10,8,-10,0
97,-10,0,-10,-10,8,-10,1
98,-10,0,-10,-10,8,-10,0
99,-10,0,-10,-10,8,-10,0
100,-10,0,-10,-10,8,-10,1
101,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
102,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
103,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
104,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
105,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
106,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
107,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
108,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,1
109,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
110,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
111,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
112,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
113,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
114,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
